record_id,citation_key,record_type,title,title_variants,authors,author_variants,year,year_variants,publication_title,publication_title_variants,volume,issue,pages,publisher,issn,isbn,doi,arxiv_id,arxiv_version,abstract,keywords,categories,url,pdf_url,published_date,updated_date,journal_reference,sources,source_record_count,source_record_ids,source_urls,deduplication_methods
P00001,paper_1d88797fbe4acb9b,inproceedings,Do Code LLMs Understand Design Patterns?,Do Code LLMs Understand Design Patterns?,Z. Pan; X. Song; Y. Wang; R. Cao; B. Li; Y. Li; H. Liu,Z. Pan; X. Song; Y. Wang; R. Cao; B. Li; Y. Li; H. Liu,2025,2025,2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),,,209--212,IEEE,,979-8-3315-2615-3,10.1109/llm4code66737.2025.00031,,,"Code Large Language Models (LLMs) demonstrate great versatility in adapting to various downstream tasks, including code generation and completion, as well as bug detection and fixing. However, Code LLMs often fail to capture existing coding standards, leading to the generation of code that conflicts with the required design patterns for a given project. As a result, developers must post-process to adapt the generated code to the project’s design norms. In this work, we empirically investigate the biases of Code LLMs in software development. Through carefully designed experiments, we assess the models’ understanding of design patterns across recognition, comprehension, and generation. Our findings reveal that biases in Code LLMs significantly affect the reliability of downstream tasks.",large language models; code llm; software engineering; empirical analysis; Adaptation models; Codes; Conferences; Computer bugs; Encoding; Software reliability; Pattern recognition; Standards; Software development management,,https://doi.org/10.1109/llm4code66737.2025.00031,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028452,12 Jun 2025,,,IEEE Xplore,1,IEEE Xplore:11028452,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028452,
P00002,paper_07860fb5e14b25ed,inproceedings,Cracks in The Stack: Hidden Vulnerabilities and Licensing Risks in LLM Pre-Training Datasets,Cracks in The Stack: Hidden Vulnerabilities and Licensing Risks in LLM Pre-Training Datasets,Mahmoud Jahanshahi; Audris Mockus,M. Jahanshahi; A. Mockus || Mahmoud Jahanshahi; Audris Mockus,2025,2025,2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),,,104--111,IEEE,,979-8-3315-2615-3,10.1109/llm4code66737.2025.00018,2501.02628,v1,"A critical part of creating code suggestion systems is the pre-training of Large Language Models (LLMs) on vast amounts of source code and natural language text, often of questionable origin, quality, or compliance. This may contribute to the presence of bugs and vulnerabilities in code generated by LLMs. While efforts to identify bugs at or after code generation exist, it is preferable to pre-train or fine-tune LLMs on curated, high-quality, and compliant datasets. The need for vast amounts of training data necessitates that such curation be automated, minimizing human intervention.We propose an automated source code autocuration technique that leverages the complete version history of open-source software (OSS) projects to improve the quality of training data. The proposed approach leverages the version history of all OSS projects to: (1) identify training data samples that have ever been modified, (2) detect samples that have undergone changes in at least one OSS project, and (3) pinpoint a subset of samples that include fixes for bugs or vulnerabilities. We evaluate this method using ""The Stack"" v2 dataset, comprising almost 600M code samples, and find that 17% of the code versions in the dataset have newer versions, with 17% of those representing bug fixes, including 2.36% addressing known CVEs. The clean, deduplicated version of Stack v2 still includes blobs vulnerable to 6,947 known CVEs. Furthermore, 58% of the blobs in the dataset were never modified after creation, suggesting they likely represent software with minimal or no use. Misidentified blob origins present an additional challenge, as they lead to the inclusion of non-permissively licensed code, raising serious compliance concerns.By deploying these fixes and addressing compliance issues, the training of new models can avoid perpetuating buggy code patterns or license violations. We expect our results to inspire process improvements for automated data curation, a critical component of AI engineering, with the potential to significantly enhance the quality and reliability of outputs generated by AI tools.",Large Language Models (LLMs); The Stack v2 Dataset; Open Source Software (OSS); LLMs for Code (LLM4Code); Software Supply Chains; World of Code (WoC); Security Vulnerability; Open Source Licensing; Training; Codes; Source coding; Large language models; Computer bugs; Supply chains; Training data; Security; History; Open source software,cs.SE; cs.AI,https://doi.org/10.1109/llm4code66737.2025.00018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028470,12 Jun 2025,2025-01-05T18:54:25Z,,IEEE Xplore; arXiv,2,IEEE Xplore:11028470 | arXiv:2501.02628v1,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028470 | http://arxiv.org/abs/2501.02628v1 | https://arxiv.org/pdf/2501.02628v1,equivalent_title; exact_doi
P00003,paper_8e49a1dde25b49a6,inproceedings,From Theory to Practice: Code Generation Using LLMs for CAPEC and CWE Frameworks,From Theory to Practice: Code Generation Using LLMs for CAPEC and CWE Frameworks,M. Shahzad; J. Wilson; I. Al Azher; H. Alhoori; M. Rahimi,M. Shahzad; J. Wilson; I. Al Azher; H. Alhoori; M. Rahimi,2025,2025,2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),,,137--144,IEEE,,979-8-3315-2615-3,10.1109/llm4code66737.2025.00022,,,"The increasing complexity and volume of software systems have heightened the importance of identifying and mitigating security vulnerabilities. The existing software vulnerability datasets frequently fall short in providing comprehensive, detailed code snippets explicitly linked to specific vulnerability descriptions, reducing their utility for advanced research and hindering efforts to develop a deeper understanding of security vulnerabilities. To address this challenge, we present a novel dataset that provides examples of vulnerable code snippets corresponding to Common Attack Pattern Enumerations and Classifications (CAPEC) and Common Weakness Enumeration (CWE) descriptions. By employing the capabilities of Generative Pre-trained Transformer (GPT) models, we have developed a robust methodology for generating these examples. Our approach utilizes GPT-4o, Llama and Claude models to generate code snippets that exhibit specific vulnerabilities as described in CAPEC and CWE documentation. This dataset not only enhances the understanding of security vulnerabilities in code but also serves as a valuable resource for training machine learning models focused on automatic vulnerability detection and remediation. Preliminary evaluations suggest that the dataset generated by Large Language Models demonstrates high accuracy and can serve as a reliable reference for vulnerability identification systems. We found consistent results across the three models, with 0.98 cosine similarity among codes. The final dataset comprises 615 CAPEC code snippets in three programming languages: Java, Python, and JavaScript, making it one of the most extensive and diverse resources in this domain. This research contributes to the field of cybersecurity by introducing an innovative dataset that supports advanced studies on software vulnerabilities and facilitates the development of tools for their prevention and mitigation.",Large Language Models; Code Generation; Software Vulnerability; Cybersecurity; Training; Java; Codes; Accuracy; Prevention and mitigation; Transformers; Software systems; Software reliability; Computer security; Python,,https://doi.org/10.1109/llm4code66737.2025.00022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028365,12 Jun 2025,,,IEEE Xplore,1,IEEE Xplore:11028365,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028365,
P00004,paper_600fcfa3f9c06301,inproceedings,Are Large Language Models Memorizing Bug Benchmarks?,Are Large Language Models Memorizing Bug Benchmarks?,Daniel Ramos; Claudia Mamede; Kush Jain; Paulo Canelas; Catarina Gamboa; Claire Le Goues,D. Ramos; C. Mamede; K. Jain; P. Canelas; C. Gamboa; C. Le Goues || Daniel Ramos; Claudia Mamede; Kush Jain; Paulo Canelas; Catarina Gamboa; Claire Le Goues,2025,2025 || 2024,2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),,,1--8,IEEE,,979-8-3315-2615-3,10.1109/llm4code66737.2025.00005,2411.13323,v3,"Large Language Models (LLMs) have become integral to various software engineering tasks, including code generation, bug detection, and repair. To evaluate model performance in these domains, numerous bug benchmarks containing real-world bugs from software projects have been developed. However, a growing concern within the software engineering community is that these benchmarks may not reliably reflect true LLM performance due to the risk of data leakage. Despite this concern, limited research has been conducted to quantify the impact of potential leakage. In this paper, we systematically evaluate popular LLMs to assess their susceptibility to data leakage from widely used bug benchmarks. To identify potential leakage, we use multiple metrics, including a study of benchmark membership within commonly used training datasets, as well as analyses of negative log-likelihood and n-gram accuracy. Our findings show that certain models, in particular codegen-multi, exhibit significant evidence of memorization in widely used benchmarks like Defects4J, while newer models trained on larger datasets like LLaMa 3.1 exhibit limited signs of leakage. These results highlight the need for careful benchmark selection and the adoption of robust metrics to adequately assess models capabilities.",Automated Program Repair; Large Language Model; Data Leakage; Training; Measurement; Codes; Accuracy; Large language models; Computer bugs; Benchmark testing; Maintenance engineering; Data models; Software engineering,cs.SE; cs.AI; cs.LG,https://doi.org/10.1109/llm4code66737.2025.00005,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028362,12 Jun 2025,2025-03-31T13:02:51Z,,IEEE Xplore; arXiv,2,IEEE Xplore:11028362 | arXiv:2411.13323v3,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028362 | http://arxiv.org/abs/2411.13323v3 | https://arxiv.org/pdf/2411.13323v3,equivalent_title
P00005,paper_d2c464ef80511165,inproceedings,LLM-ProS: Analyzing Large Language Models’ Performance in Competitive Problem Solving,LLM-ProS: Analyzing Large Language Models’ Performance in Competitive Problem Solving,M. S. Hossain; A. Tabassum; M. F. Arefin; T. Shaila Zaman,M. S. Hossain; A. Tabassum; M. F. Arefin; T. Shaila Zaman,2025,2025,2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),2025 IEEE/ACM International Workshop on Large Language Models for Code (LLM4Code),,,80--87,IEEE,,979-8-3315-2615-3,10.1109/llm4code66737.2025.00015,,,"The rapid advancement of large language models has opened new avenues for automating complex problem-solving tasks such as algorithmic coding and competitive programming. This paper introduces a novel evaluation technique, LLM-ProS, to assess the performance of state-of-the-art LLMs on International Collegiate Programming Contest (ICPC) problems. Using a curated dataset of 166 World Finals problems from 2011 to 2024, we benchmark the models’ reasoning, accuracy, and efficiency. We evaluated the five models-GPT-4o, Mistral Large, Llama-3.1-405B, and the o1 family, consisting of o1-mini and o1-preview, across critical metrics like correctness, resource utilization, and response calibration. Our results reveal significant differences in the models’ abilities to generalize, adapt, and solve novel problems. We also investigated the impact of training methodologies, dataset contamination, and chain-of-thought reasoning on model performance. The findings provide new insights into optimizing LLMs for algorithmic tasks, highlighting both strengths and limitations of current models.",Large Language Models; Competitive Programming; ICPC; Performance Evaluation; Chain-of-Thought Reasoning; Training; Adaptation models; Analytical models; Accuracy; Computational modeling; Programming; Benchmark testing; Cognition; Problem-solving,,https://doi.org/10.1109/llm4code66737.2025.00015,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028406,12 Jun 2025,,,IEEE Xplore,1,IEEE Xplore:11028406,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11028406,
P00006,paper_aa927e3aab44984d,inproceedings,Trustworthiness of Large Language Models for Code,Trustworthiness of Large Language Models for Code,D. Khati,D. Khati,2025,2025,2025 IEEE/ACM 47th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),2025 IEEE/ACM 47th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),,,208--210,IEEE,2574-1934,979-8-3315-3683-1,10.1109/icse-companion66252.2025.00063,,,"In recent years, Large Language Models for code (LLMc) have transformed the landscape of software engineering (SE), demonstrating significant efficacy in tasks such as code completion, summarization, review, tracing, translation, test case generation, clone detection, and bug fixing. Notably, GitHub Copilot and Google's CodeBot exemplify how LLMc contributes to substantial time and effort savings in software development. However, the widespread application of these models has raised critical concerns regarding their trustworthiness. The lack of well-defined trust metrics beyond mere accuracy poses significant risks, including potential security vulnerabilities and compromised data integrity. This dissertation proposes solving this pressing need by developing a comprehensive framework to evaluate LLMc's trustworthiness. We aim to establish contextualized definitions of trust, distrust, and trustworthiness specific to LLMc, identify key influencing factors, and create a standardized evaluation framework encompassing both model-based attributes and human-centric considerations. We will validate the framework's effectiveness through rigorous empirical studies and user evaluations and provide insights for targeted improvements in LLMc development. This dissertation seeks to enhance the reliability and transparency of LLMc, fostering their responsible integration into software engineering practices and paving the way for more trustworthy AI-assisted code generation.",Software Engineering; LLM; trust; LLM4SE; Codes; Translation; Reviews; Large language models; Pressing; Reliability engineering; Software reliability; Security; Software development management,,https://doi.org/10.1109/icse-companion66252.2025.00063,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11024370,13 Jun 2025,,,IEEE Xplore,1,IEEE Xplore:11024370,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11024370,
P00007,paper_c96452bebcb6f10d,inproceedings,An Empirical Study on Fine-Tuning Large Language Models of Code for Automated Program Repair,An Empirical Study on Fine-Tuning Large Language Models of Code for Automated Program Repair,Kai Huang; Xiangxin Meng; Jian Zhang; Yang Liu; Wenjie Wang; Shuhao Li; Yuqing Zhang,K. Huang; X. Meng; J. Zhang; Y. Liu; W. Wang; S. Li; Y. Zhang || Kai Huang; Xiangxin Meng; Jian Zhang; Yang Liu; Wenjie Wang; Shuhao Li; Yuqing Zhang,2023,2023 || 2024,2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE),2023 38th IEEE/ACM International Conference on Automated Software Engineering (ASE) || Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,,,1162--1174,IEEE,2643-1572,979-8-3503-2996-4,10.1109/ase56229.2023.00181,,,"The advent of large language models (LLMs) has opened up new opportunities for automated program repair (APR). In particular, some recent studies have explored how to leverage large language models of code (LLMCs) for program repair tasks and show promising results. However, most of them adopt the zero/few-shot learning paradigm for APR, which directly use LLMCs to generate the possibly correct code given its surrounding context. Though effective, the repair capabilities of LLMCs based on the fine-tuning paradigm have yet to be extensively explored. Also, it remains unknown whether LLMCs have the potential to repair more complicated bugs (e.g., multi-hunk bugs). To fill the gap, in this work, we conduct a comprehensive study on the program repair capability of LLMCs in the fine-tuning paradigm. We select 5 popular LLMCs with representative pre-training architectures, including CodeBERT, GraphCode-BERT, PLBART, CodeT5, and UniX coder. We consider 3 typical program repair scenarios (i.e., bugs, vulnerabilities, and errors) involving 3 programming languages (i.e., Java, $\mathrm{C}/\mathrm{C}++$, and JavaScript). Notably, we take both single-hunk and multi-hunk bugs/vulnerabilities into account. We then fine-tune them on widely-used datasets and compare them with existing state-of-the-art APR tools. We also investigate the impact of different design choices, which include code abstractions, code representations, and model evaluation metrics. Our experimental results show that LLMCs in the fine-tuning paradigm can significantly outperform previous state-of-the-art APR tools. Through in-depth analysis, we provide insights into choosing appropriate strategies to guide LLMCs for better performance. Lastly, we reveal several limitations of LLMCs for APR and make suggestions for future research on LLMC-based APR.",Automated Program Repair; Large Language Models of Code; Neural Machine Translation; Fine-Tuning; Measurement; Java; Computer languages; Codes; Computer bugs; Maintenance engineering; Benchmark testing,,https://doi.org/10.1109/ase56229.2023.00181,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298532,8 Nov 2023,,,IEEE Xplore; ACM Digital Library,2,IEEE Xplore:10298532 | ACM Digital Library:10.1109/ASE56229.2023.00181,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10298532 | https://doi.org/10.1109/ASE56229.2023.00181,equivalent_title; exact_doi
P00008,paper_c46bb583a415ff09,inproceedings,LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-Based Code Completion,LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-Based Code Completion,Chong Wang; Kaifeng Huang; Jian Zhang; Yebo Feng; Lyuye Zhang; Yang Liu; Xin Peng,C. Wang; K. Huang; J. Zhang; Y. Feng; L. Zhang; Y. Liu; X. Peng || Chong Wang; Kaifeng Huang; Jian Zhang; Yebo Feng; Lyuye Zhang; Yang Liu; Xin Peng,2025,2025,2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE),2025 IEEE/ACM 47th International Conference on Software Engineering (ICSE) || Proceedings of the IEEE/ACM 47th International Conference on Software Engineering,,,885--897,IEEE,1558-1225,979-8-3315-0569-1,10.1109/icse55347.2025.00245,,,"Large language models (LLMs), pre-trained or fine-tuned on large code corpora, have shown effectiveness in generating code completions. However, in LLM-based code completion, LLMs may struggle to use correct and up-to-date Application Programming Interfaces (APIs) due to the rapid and continuous evolution of libraries. While existing studies have highlighted issues with predicting incorrect APIs, the specific problem of deprecated API usage in LLM-based code completion has not been thoroughly investigated. To address this gap, we conducted the first evaluation study on deprecated API usage in LLM-based code completion. This study involved seven advanced LLMs, 145 API mappings from eight popular Python libraries, and $\mathbf{2 8, 1 2 5}$ completion prompts. The study results reveal the status quo (i.e., API usage plausibility and deprecated usage rate) of deprecated API and replacing API usage in LLM-based code completion from the perspectives of model, prompt, and library, and indicate the root causes behind. Based on these findings, we propose two lightweight fixing approaches, Replaceapi and InsertPrompt, which can serve as baseline approaches for future research on mitigating deprecated API usage in LLM-based completion. Additionally, we provide implications for future research on integrating library evolution with LLMdriven software development.",large language models; code completion; api deprecation; library evolution; Codes; Libraries; Faces; Application programming interfaces; Software development management; Software engineering; Python,,https://doi.org/10.1109/icse55347.2025.00245,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029774,23 Jun 2025,,,IEEE Xplore; ACM Digital Library,2,IEEE Xplore:11029774 | ACM Digital Library:10.1109/ICSE55347.2025.00245,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11029774 | https://doi.org/10.1109/ICSE55347.2025.00245,equivalent_title; exact_doi
P00009,paper_51237192e0787c19,inproceedings,LLM2AutoML: Zero-Code AutoML Framework Leveraging Large Language Models,LLM2AutoML: Zero-Code AutoML Framework Leveraging Large Language Models,S. Chen; W. Zhai; C. Chai; X. Shi,S. Chen; W. Zhai; C. Chai; X. Shi,2024,2024,2024 International Conference on Intelligent Robotics and Automatic Control (IRAC),2024 International Conference on Intelligent Robotics and Automatic Control (IRAC),,,285--290,IEEE,,979-8-3503-8980-7,10.1109/irac63143.2024.10871761,,,"Automated Machine Learning (AutoML) aims to make machine learning accessible to non-experts by minimizing technical barriers and enabling the creation of high-performance models without extensive programming knowledge. Despite advances, existing AutoML solutions often struggle with complexity and inefficiency in handling intricate tasks. Herein, we present LLM2AutoML, a zero-code AutoML framework that leverages Large Language Models (LLMs) to generate high-performance actionable ML models without coding and with explanations. LLM2AutoML enables bidirectional human-machine alignment by interpreting user intentions expressed in natural language, converting them into executable AutoML tasks, and delivering detailed analytical reports that foster user understanding and trust. We propose the template-bounded AutoML method to ensure the LLM-generated code is highly executable, enabling fully end-to-end automation, including intention parsing, model auto-selection, and hyperparameter auto-tuning. Additionally, we incorporate techniques such as adaptive loss functions and configuration recommendations to improve efficiency and performance. Experiments on the SECOM dataset from the semiconductor manufacturing industry demonstrate that LLM2AutoML enhances the automation and usability of AutoML and LLMs, achieves superior performance, and produces high-quality analytical reports. This framework presents a novel approach to advancing the effectiveness and capabilities of both AutoML and LLMs.",AutoML; Large Language Models (LLMs); ZeroCode; Human-machine Bidirectional Alignment; Hyperparameter Optimization; Codes; Large language models; Human-machine systems; Natural languages; Semiconductor device manufacture; Automated machine learning; Stability analysis; Usability; Optimization; Robots,,https://doi.org/10.1109/irac63143.2024.10871761,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10871761,12 Feb 2025,,,IEEE Xplore,1,IEEE Xplore:10871761,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10871761,
P00010,paper_a1c3472dcac1ecf9,inproceedings,RepairCAT: Applying Large Language Model to Fix Bugs in AI-Generated Programs,RepairCAT: Applying Large Language Model to Fix Bugs in AI-Generated Programs,N. Jiang; Y. Wu,N. Jiang; Y. Wu,2024,2024,2024 IEEE/ACM International Workshop on Automated Program Repair (APR),2024 IEEE/ACM International Workshop on Automated Program Repair (APR),,,58--60,IEEE,,979-8-4007-0577-9,10.1145/3643788.3648020,,,"Automated program repair has been a crucial and popular domain for years, and with the development of large language models (LLMs) and the trend of using LLMs for code generation, there comes the new challenge of fixing bugs in LLM -generated (AI-generated) programs. In this work, we introduce RepairCAT, a simple and neat framework for fine-tuning large language models for automated repairing Python programs. Our experiments built on StarCoder-1B successfully generated patches fixing the failed test cases for 14 out of 100 bugs in the Python programs, 2 of which passed all the public test cases and were considered plausible.",Automated Program Repair; Large Language Model; Codes; Large language models; Conferences; Computer bugs; Maintenance engineering; Market research; Python,,https://doi.org/10.1145/3643788.3648020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10653037,2 Sep 2024,,,IEEE Xplore,1,IEEE Xplore:10653037,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10653037,
