Paper,Quality Score (Consensus After Discussion)
LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-based Code Completion,14
Less is More: On the Importance of Data Quality for Unit Test Generation,12
Qwen Technical Report,12
Qwen2 Technical Report,12
DataMan: Data Manager for Pre-training Large Language Models,12
Phi-4 Technical Report,14
Is GitHub’s Copilot as Bad as Humans at Introducing Vulnerabilities in Code?,10
An Empirical Evaluation of GitHub Copilot’s Code Suggestions,10
Exploring and Evaluating Hallucinations in LLM-Powered Code Generation,10
CodeHalu: Investigating Code Hallucinations in LLMs via Execution-based Verification,10
EffiBench: Benchmarking the Efficiency of Automatically Generated Code,10
Mercury: A Code Efficiency Benchmark for Code Large Language Models,10
"Large Language Models and Simple, Stupid Bugs",11
We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,12
Code Hallucination,12
Large Language Models for Code: Security Hardening and Adversarial Testing,12
Purple Llama CYBERSECEVAL: A Secure Coding Benchmark for Language Models,12
Lost at C: A User Study on the Security Implications of Large Language Model Code Assistants,10
Do Users Write More Insecure Code with AI Assistants?,10
The Counterfeit Conundrum: Can Code Language Models Grasp the Nuances of Their Incorrect Generations?,12
Bugs in Large Language Models Generated Code: An Empirical Stud,12
"Evaluating the Code Quality of AI-Assisted Code Generation Tools: An Empirical Study on GitHub Copilot, Amazon CodeWhisperer, and ChatGPT",10
No Need to Lift a Finger Anymore? Assessing the Quality of Code Generation by ChatGPT,10
On Mitigating Code LLM Hallucinations with API Documentation,12
CodeMirage: Hallucinations in Code Generated by Large Language Models,12
On Evaluating the Efficiency of Source Code Generated by LLMs,10
Syntactic Robustness for LLM-based Code Generation,11
NLPerturbator: Studying the Robustness of Code LLMs to Natural Language Variations,10
A Comprehensive Framework for Evaluating API-oriented Code Generation in Large Language Models,11
Decoding Secret Memorization in Code LLMs Through Token-Level Characterization,12
When Fine-Tuning LLMs Meets Data Privacy: An Empirical Study of Federated Learning in LLM-Based Program Repair,10
Bias Unveiled: Investigating Social Bias in LLM-Generated Code,12
FairCoder: Evaluating Social Bias of LLMs in Code Generation,12
CodeIP: A Grammar-Guided Multi-Bit Watermark for Large Language Models of Code,10
From Effectiveness to Efficiency: Comparative Evaluation of Code Generated by LCGMs for Bilingual Programming Questions,12
How Efficient is LLM-Generated Code? A Rigorous & High-Standard Benchmark,12
DeVAIC: A Tool for Security Assessment of AI-generated Code,12
Comparing Robustness Against Adversarial Attacks in Code Generation: LLM-Generated vs. Human-Written,12
Is ChatGPT a Good Software Librarian? An Exploratory Study on the Use of ChatGPT for Software Library Recommendations,10
Improving LLM-Generated Code Quality with GRPO,12
Artificial-Intelligence Generated Code Considered Harmful: A Road Map for Secure and High-Quality Code Generation,12
Unveiling Inefficiencies in LLM-Generated Code: Toward a Comprehensive Taxonomy,12
Quality Assessment of Python Tests Generated by Large Language Models,12
CoQuIR: A Comprehensive Benchmark for Code Quality-Aware Information Retrieval,12
Training Language Models to Generate Quality Code with Program Analysis Feedback,12
CIDRe: A Reference-Free Multi-Aspect Criterion for Code Comment Quality Measurement,14
Infinite-Instruct: Synthesizing Scaling Code instruction Data with Bidirectional Synthesis and Static Verification,14
"Quality In, Quality Out: Investigating Training Data's Role in AI Code Generation",14
"Security and Quality in LLM-Generated Code: A Multi-Language, Multi-Model Analysis",12
Rewriting Pre-Training Data Boosts LLM Performance in Math and Code,14
ROSE: Transformer-Based Refactoring Recommendation for Architectural Smells,12
Refining ChatGPT-Generated Code: Characterizing and Mitigating Code Quality Issues,12
Qwen3 Technical Report,14
Qwen2.5 Technical Report,14
"Technical Report of TeleChat2, TeleChat2.5 and T1",14
Kimi K2: Open Agentic Intelligence,14
ReCode: Updating Code API Knowledge with Reinforcement Learning,12
Seed-Coder: Let the Code Model Curate Data for Itself,16
Data-efficient LLM Fine-tuning for Code Generation,16
CRPE: Expanding The Reasoning Capability of Large Language Model for Code Generation,16
