Title,Rater1,Rater2,Rater3
Less is More: On the Importance of Data Quality for Unit Test Generation,13,12,8
Is GitHub's Copilot as Bad as Humans at Introducing Vulnerabilities in Code?,10,10,10
You Autocomplete Me: Poisoning Vulnerabilities in Neural Code Completion,7,8,9
Seed-Coder: Let the Code Model Curate Data for Itself,16,16,16
Qwen Technical Report,12,13,13
Beyond Accuracy: Evaluating Self-Consistency of Code Large Language Models with IdentityChain,7,8,5
"Large Language Models and Simple, Stupid Bugs",11,11,12
LLMs Meet Library Evolution: Evaluating Deprecated API Usage in LLM-based Code Completion,13,12,14
Phi-4 Technical Report,15,14,14
Qwen2 Technical Report,12,12,11
An Empirical Evaluation of GitHub Copilot's Code Suggestions,10,10,10
CIDRe: A Reference-Free Multi-Aspect Criterion for Code Comment Quality Measurement,15,14,15
DataMan: Data Manager for Pre-training Large Language Models,12,12,12
Exploring and Evaluating Hallucinations in LLM-Powered Code Generation,10,10,10
Infinite-Instruct: Synthesizing Scaling Code instruction Data with Bidirectional Synthesis and Static Verification,10,16,14
We Have a Package for You! A Comprehensive Analysis of Package Hallucinations by Code Generating LLMs,12,12,13
How Does Code Pretraining Affect Language Model Task Performance?,14,12,13
Code Hallucination,8,11,12
Syntactic Robustness for LLM-based Code Generation,11,11,10
Large Language Models for Code: Security Hardening and Adversarial Testing,12,14,10
"Purple Llama CYBERSECEVAL: A Secure
 Coding Benchmark for Language Models",11,12,10
"The Counterfeit Conundrum: Can Code Language Models Grasp the Nuances of Their Incorrect
 Generations?",12,12,11
CodeHalu: Investigating Code Hallucinations in LLMs via Execution-based Verification,6,9,10
" Bugs in Large Language Models Generated Code:
 An Empirical Stud",14,13,12
"Quality In, Quality Out: Investigating Training Data's Role in AI Code Generation",14,14,12
LLM-Aided Customizable Profiling of Code Data Based On Programming Language Concepts,8,10,12
On Mitigating Code LLM Hallucinations with API Documentation,12,14,10
Data-efficient LLM Fine-tuning for Code Generation,16,14,14
EffiBench: Benchmarking the Efficiency of Automatically Generated Code,7,8,10
CodeMirage: Hallucinations in Code Generated by Large Language Models,14,12,12
Beyond functional correctness: Investigating coding style inconsistencies in large language models,15,15,16
Decoding Secret Memorization in Code LLMs Through Token-Level Characterization,12,12,12
Bias Unveiled: Investigating Social Bias in LLM-Generated Code,10,12,12
Rewriting Pre-Training Data Boosts LLM Performance in Math and Code,14,14,13
Mercury: A Code Efficiency Benchmark for Code Large Language Models,10,12,10
FairCoder: Evaluating Social Bias of LLMs in Code Generation,11,12,12
"From Effectiveness to Efficiency: Comparative
Evaluation of Code Generated by LCGMs for
Bilingual Programming Questions",12,11,13
A Controlled Experiment on the Energy Efficiency of the Source Code Generated by Code Llama,8,8,5
A Comprehensive Framework for Evaluating API-oriented Code Generation in Large Language Models,10,11,11
StarCoder 2 and The Stack v2: The Next Generation,13,12,14
Lost at C: A User Study on the Security Implications of Large Language Model Code Assistants,10,12,10
How Efficient is LLM-Generated Code? A Rigorous & High-Standard Benchmark,12,12,11
CRPE: Expanding The Reasoning Capability of Large Language Model for Code Generation,16,14,16
LLMs Love Python: A Study of LLMs' Bias for Programming Languages and Libraries,9,8,9
Brevity is the soul of wit: Pruning long files for code generation,13,16,13
Framework-Aware Code Generation with API Knowledge Graph-Constructed Data: A Study on HarmonyOS,13,15,12
Qwen3 Technical Report,14,14,13
DeVAIC: A Tool for Security Assessment of AI-generated Code,12,14,15
Comparing Robustness Against Adversarial Attacks in Code Generation: LLM-Generated vs. Human-Written,12,11,12
DeepCodeProbe: Towards Understanding What Models Trained on Code Learn,11,8,7
Do Users Write More Insecure Code with AI Assistants?,10,14,11
Improving LLM-Generated Code Quality with GRPO,10,16,12
GPT-4 Technical Report,10,11,10
Artificial-Intelligence Generated Code Considered Harmful: A Road Map for Secure and High-Quality Code Generation,14,12,12
Towards More Trustworthy and Interpretable LLMs for Code through Syntax-Grounded Explanations,8,7,6
"Evaluating the Code Quality of AI-Assisted Code Generation Tools: An Empirical Study on GitHub Copilot, Amazon CodeWhisperer, and ChatGPT",12,9,10
An Empirical Study on Capability of Large Language Models in Understanding Code Semantics,8,6,8
A Critical Study of What Code-LLMs (Do Not) Learn,10,8,8
No Need to Lift a Finger Anymore? Assessing the Quality of Code Generation by ChatGPT,12,10,10
Unveiling Inefficiencies in LLM-Generated Code: Toward a Comprehensive Taxonomy,12,12,16
On Evaluating the Efficiency of Source Code Generated by LLMs,8,6,10
Quality Assessment of Python Tests Generated by Large Language Models,12,12,10
Qwen2.5 Technical Report,14,14,14
CoQuIR: A Comprehensive Benchmark for Code Quality-Aware Information Retrieval,12,12,12
Training Language Models to Generate Quality Code with Program Analysis Feedback,12,12,12
"Security and Quality in LLM-Generated Code: A Multi-Language, Multi-Model Analysis",12,12,12
A hierarchical and evolvable benchmark for fine-grained code instruction following with multi-turn feedback,15,16,13
Repetition In Repetition Out: Towards Understanding Neural Text Degeneration from the Data Perspective,16,15,16
ROSE: Transformer-Based Refactoring Recommendation for Architectural Smells,12,12,14
"Llm hallucinations in practical code generation: Phenomena, mechanism, and mitigation",13,13,13
Refining ChatGPT-Generated Code: Characterizing and Mitigating Code Quality Issues,12,12,11
NLPerturbator: Studying the Robustness of Code LLMs to Natural Language Variations,10,9,10
ReCode: Updating Code API Knowledge with Reinforcement Learning,12,14,11
Looking into Black Box Code Language Models,7,10,8
"Technical Report of TeleChat2, TeleChat2.5 and T1",10,14,16
Evaluating Large Language Models Trained on Code,16,15,14
Rethinking Repetition Problems of LLMs in Code Generation,10,12,14
"A Systematic Evaluation of Large Code Models in API Suggestion: When, Which, and How",8,8,7
Kimi K2: Open Agentic Intelligence,14,14,11
Every Sample Matters: Leveraging Mixture-of-Experts and High-Quality Data for Efficient and Accurate Code LLM,13,12,11
At Which Training Stage Does Code Data Help LLMs Reasoning?,13,10,12
When Fine-Tuning LLMs Meets Data Privacy: An Empirical Study of Federated Learning in LLM-Based Program Repair,9,10,12
CodeIP: A Grammar-Guided Multi-Bit Watermark for Large Language Models of Code,10,10,10
Assessing LLM code generation quality through path planning tasks,14,16,16
WaveCoder: Widespread And Versatile Enhancement For Code Large Language Models By Instruction Tuning,12,11,14
Beyond Correctness: Benchmarking Multi-dimensional Code Generation for Large Language Models,13,10,12
Too Noisy To Learn: Enhancing Data Quality for Code Review Comment Generation,5,4,8
Is ChatGPT a Good Software Librarian? An Exploratory Study on the Use of ChatGPT for Software Library Recommendations,13,10,9
DeepSeek-Coder: When the Large Language Model Meets Programming -- The Rise of Code Intelligence,12,14,12
How Propense Are Large Language Models at Producing Code Smells? A Benchmarking Study,14,14,16
COFFE: A Code Efficiency Benchmark for Code Generation,13,11,16
OLMoTrace: Tracing Language Model Outputs Back to Trillions of Training Tokens,10,8,8
"To Code, or Not To Code? Exploring Impact of Code in Pre-training",10,12,10
Are They All Good? Evaluating the Quality of CoTs in LLM-based Code Generation,7,7,6
TSDCG: Tabular Synthetic Data with Code Generation LLMs,4,7,7
Large Language Models are Qualified Benchmark Builders: Rebuilding Pre-Training Datasets for Advancing Code Intelligence Tasks,11,11,10
Does Your Neural Code Completion Model Use My Code? A Membership Inference Approach,16,14,14
"Code Less, Align More: Efficient LLM Fine-tuning for Code Generation with Data Pruning",6,8,10
